image,score,x1,y1,x2,y2,tp50,iou50,gt50,tp75,max_iou_any_gt,status
DJI_20250511174641_0620_D_tile_0029_x3040_y1824,0.87316,543.599,514.827,639.431,598.292,False,0.0,-1,False,0.0,bgFP
DJI_20250511174635_0617_D_tile_0041_x608_y3040,0.86543,449.505,560.208,512.732,639.774,False,0.0,-1,False,0.0,bgFP
DJI_20250511174635_0617_D_tile_0041_x608_y3040,0.86131,524.269,564.983,639.2090000000001,638.963,False,0.0,-1,False,0.0,bgFP
DJI_20250511173417_0291_D_tile_0010_x1216_y608,0.85365,1.544,571.407,68.356,639.9150000000001,False,0.0,-1,False,0.0,bgFP
DJI_20250511173423_0294_D_tile_0062_x4640_y3316,0.85273,332.541,31.794,474.476,141.048,False,0.0,-1,False,0.0,bgFP
DJI_20250511173415_0290_D_tile_0014_x3648_y608,0.85064,483.078,565.165,562.242,639.591,False,0.0,-1,False,0.0,bgFP
DJI_20250511174637_0618_D_tile_0030_x3648_y1824,0.83944,423.445,288.735,496.723,349.79200000000003,False,0.0,-1,False,0.0,bgFP
DJI_20250511173427_0296_D_tile_0041_x608_y3040,0.83702,587.693,111.209,639.625,236.389,False,0.0,-1,False,0.0001280951095693,bgFP
DJI_20250511173955_0444_D_tile_0035_x1824_y2432,0.82782,380.611,481.329,448.114,592.818,False,0.0,-1,False,0.0,bgFP
DJI_20250511173421_0293_D_tile_0010_x1216_y608,0.82178,33.464,9.003,182.943,126.018,False,0.0,-1,False,0.0,bgFP
DJI_20250511173421_0293_D_tile_0009_x608_y608,0.82159,382.51,1.628,517.026,131.89899999999997,False,0.0,-1,False,0.0,bgFP
DJI_20250511174633_0616_D_tile_0057_x1824_y3316,0.8203,542.63,485.807,639.521,548.419,False,0.0,-1,False,0.0,bgFP
DJI_20250511173415_0290_D_tile_0055_x608_y3316,0.82,592.809,499.589,639.391,629.678,False,0.0,-1,False,0.0,bgFP
DJI_20250511173417_0291_D_tile_0032_x0_y2432,0.81936,584.394,568.841,639.687,639.842,False,0.0,-1,False,0.0,bgFP
DJI_20250511173415_0290_D_tile_0039_x4256_y2432,0.81521,26.028,404.466,206.462,571.275,False,0.0,-1,False,0.0,bgFP
DJI_20250511173423_0294_D_tile_0040_x0_y3040,0.813,458.373,519.501,638.199,639.747,False,0.0,-1,False,0.0,bgFP
DJI_20250511174635_0617_D_tile_0003_x1824_y0,0.81121,436.185,422.04,489.587,510.828,False,0.0,-1,False,0.0,bgFP
DJI_20250511174635_0617_D_tile_0029_x3040_y1824,0.809,0.62,357.9,43.109,409.532,False,0.0,-1,False,0.0,bgFP
DJI_20250511173421_0293_D_tile_0029_x3040_y1824,0.80758,209.571,566.503,275.875,640.0,False,0.0,-1,False,0.0,bgFP
DJI_20250511173433_0299_D_tile_0028_x2432_y1824,0.80457,344.029,472.247,499.302,625.9970000000001,False,0.0,-1,False,0.0,bgFP
DJI_20250511173425_0295_D_tile_0050_x4640_y1216,0.80443,487.973,335.376,635.782,426.306,False,0.0,-1,False,0.0865750977696083,bgFP
DJI_20250511173955_0444_D_tile_0058_x2432_y3316,0.80323,313.753,526.726,411.559,597.508,False,0.0,-1,False,0.0,bgFP
DJI_20250511174649_0624_D_tile_0003_x1824_y0,0.80231,0.829,582.509,34.255,639.943,False,0.0,-1,False,0.0,bgFP
DJI_20250511173421_0293_D_tile_0006_x3648_y0,0.80179,159.604,351.252,214.29,429.465,False,0.0,-1,False,0.0,bgFP
DJI_20250511174635_0617_D_tile_0005_x3040_y0,0.79986,0.762,469.133,37.598,517.3109999999999,False,0.0,-1,False,0.0,bgFP
