image,gt_idx,x1,y1,x2,y2,w,h,area,max_gt_iou,neighbors_100px,edge_dist,img_n_gt,matched50,pred_score50,pred_iou50,matched75,max_pred_iou,status
DJI_20250511173415_0290_D_tile_0000_x0_y0,0,178.99968,91.99967999999998,318.0,225.0,139.00032,133.00032000000002,18487.0870401024,0.004423422645302688,0,91.99967999999998,7,True,0.87909,0.9289309656125312,True,0.9289309656125312,TP
DJI_20250511173415_0290_D_tile_0000_x0_y0,1,304.0,25.999808000000005,439.00032000000004,101.000128,135.00032000000004,75.00032,10125.067200102403,0.004423422645302688,0,25.999808000000005,7,True,0.8832,0.8909760856608201,True,0.8909760856608201,TP
DJI_20250511173415_0290_D_tile_0000_x0_y0,2,511.00032,187.0,596.0,264.00032,84.99968000000001,77.00031999999999,6545.0025598976,0.038521519298197,0,44.0,7,True,0.84542,0.9522805775675399,True,0.9522805775675399,TP
DJI_20250511173415_0290_D_tile_0000_x0_y0,3,128.00016,0.9998719999999972,179.00016,68.000192,51.0,67.00032,3417.01632,0.0,0,0.9998719999999972,7,True,0.8022,0.8549349832856289,True,0.8549349832856289,TP
DJI_20250511173415_0290_D_tile_0000_x0_y0,4,378.0,189.0,522.0,298.00032,144.0,109.00031999999999,15696.046079999998,0.038521519298197,0,118.0,7,True,0.88898,0.813479922454458,True,0.813479922454458,TP
DJI_20250511173415_0290_D_tile_0000_x0_y0,5,0.9998080000000087,291.00032000000004,96.000128,335.00032000000004,95.00031999999999,44.0,4180.014079999999,0.0,0,0.9998080000000087,7,True,0.8209,0.8343215047154529,True,0.8343215047154529,TP
DJI_20250511173415_0290_D_tile_0000_x0_y0,6,0.999968,63.00016,51.999967999999996,112.00016000000002,50.99999999999999,49.00000000000002,2499.000000000001,0.0,0,0.999968,7,True,0.78303,0.9068638686361203,True,0.9068638686361203,TP
DJI_20250511173415_0290_D_tile_0001_x608_y0,0,64.0,51.0,247.99999999999997,244.00032000000004,183.99999999999997,193.00032000000004,35512.058880000004,0.35916265186763247,1,51.0,6,True,0.85806,0.7965679473739808,True,0.8166064405894565,TP
DJI_20250511173415_0290_D_tile_0001_x608_y0,1,301.99968,193.0,415.0,267.0,113.00031999999999,74.0,8362.023679999998,0.0,0,193.0,6,True,0.85456,0.9148581589109225,True,0.9148581589109225,TP
DJI_20250511173415_0290_D_tile_0001_x608_y0,2,419.99968,1.0003199999999968,573.0,158.0,153.00032,156.99968,24021.0012798976,0.011453269790280487,0,1.0003199999999968,6,True,0.85778,0.8405806001855649,True,0.8405806001855649,TP
DJI_20250511173415_0290_D_tile_0001_x608_y0,3,40.0,133.0,216.0,294.00032,176.0,161.00032,28336.056319999996,0.35916265186763247,1,40.0,6,True,0.62061,0.6499197767584652,True,0.8886385093686324,TP
DJI_20250511173415_0290_D_tile_0001_x608_y0,4,37.0,0.9998079999999998,131.0,70.000128,94.0,69.00032,6486.03008,0.0312585896454151,0,0.9998079999999998,6,True,0.87351,0.8537200534927855,True,0.8537200534927855,TP
DJI_20250511173415_0290_D_tile_0001_x608_y0,5,568.0,1.000192000000002,640.0,65.999872,72.0,64.99968,4679.97696,0.011453269790280487,0,0.0,6,True,0.2477,0.7696692669187842,True,0.7696692669187842,FN_lowScore
DJI_20250511173415_0290_D_tile_0002_x1216_y0,0,71.99968,178.0,229.99968,274.0,158.0,96.0,15168.0,0.0,0,71.99968,3,True,0.89922,0.9378855601824022,True,0.9378855601824022,TP
DJI_20250511173415_0290_D_tile_0002_x1216_y0,1,1.0003199999999968,1.0000000000000009,146.0,67.0,144.99968,66.0,9569.97888,0.0,0,1.0000000000000009,3,True,0.89654,0.9769276201963738,True,0.9769276201963738,TP
