Model,Size,Protocol,Epochs,Params_M,GFLOPs,Precision,Recall,mAP50,mAP75,mAP50_95,Note
YOLOv12s-baseline,s,coco_pretrain,150,9.25,21.52,84.911,81.341,88.267,60.853,55.639,主基线（预训练协议）
YOLOv12s,s,from_scratch,150,9.25,21.52,84.609,80.388,87.933,59.767,54.937,from-scratch 150ep
YOLOv12s(300ep),s,from_scratch,300,9.25,21.52,84.546,80.618,88.121,60.03,55.128,from-scratch 300ep（论文主协议基线）
YOLOv12n-300e/250e/150e,n,coco_pretrain,300,2.57,6.48,84.669,81.053,87.88,59.42,54.735,n 尺寸基线（尺寸消融对照）
YOLOv12s-Facaler-CIoU,s,coco_pretrain,150,9.25,21.52,85.047,81.808,88.656,61.142,55.792,历史最佳改进（预训练协议）
YOLOv12s-Focaler-CIoU,s,from_scratch,150,9.25,21.52,84.025,81.062,87.932,60.133,55.009,同一改进在 from-scratch 下增益归零（协议交互证据）
YOLOv12s-baseline_nms60,s,coco_pretrain,150,9.25,21.52,85.055,82.21,88.779,59.331,55.198,NMS iou 0.60 免费收益
YOLOv12s-baseline_nms50,s,coco_pretrain,150,9.25,21.52,84.75,83.042,88.623,58.083,54.422,NMS iou 0.50（Recall 最优）
YOLOv11s,s,coco_pretrain,150,9.43,21.55,84.997,80.503,87.916,59.517,54.968,对比模型（预训练）
YOLOv8s,s,coco_pretrain,150,11.14,28.65,84.438,80.792,87.665,59.866,55.013,对比模型（预训练）
YOLOv26s,s,coco_pretrain,150,9.95,22.5,83.292,80.05,86.607,59.011,53.971,对比模型（预训练）
YOLOv5su,s,coco_pretrain,150,9.12,24.04,84.887,79.993,87.889,60.344,55.253,对比模型（预训练）
YOLOv11s,s,from_scratch,150,9.43,21.55,83.584,80.059,87.511,58.962,54.351,对比模型（from-scratch）
YOLOv8s,s,from_scratch,150,11.14,28.65,82.651,80.874,87.335,58.583,54.154,对比模型（from-scratch）
YOLOv26s,s,from_scratch,150,9.95,22.5,82.865,79.989,86.559,58.043,53.591,对比模型（from-scratch）
YOLOv8n,n,coco_pretrain,200,3.01,8.19,83.857,80.023,87.394,58.966,54.18,n 尺寸对比模型
YOLOv11n,n,coco_pretrain,200,2.59,6.44,83.243,80.343,87.19,59.275,54.375,n 尺寸对比模型
YOLOv5nu,n,coco_pretrain,200,2.51,7.18,83.855,80.195,87.27,58.777,54.154,n 尺寸对比模型
YOLOv26n,n,coco_pretrain,200,2.5,5.77,83.143,79.002,86.229,57.429,52.964,n 尺寸对比模型
