Section,Category,Count,Share_pct,Note
预测侧构成,TP,9073,9.32,正确检测
预测侧构成,dupFP,127,0.13,重复框（同一株框两次）
预测侧构成,locFP,763,0.78,定位偏差/框到邻苗
预测侧构成,bgFP,572,0.59,背景误检（含332个高分疑似漏标）
预测侧构成,below_thr,84748,87.05,低于操作阈值的背景预测
GT侧构成,TP,9073,80.56,已检出
GT侧构成,FN_lowScore,2073,18.41,低分漏检（框已出但分数低）
GT侧构成,FN_nearMiss,111,0.99,近失漏检（最佳IoU 0.1~0.5）
GT侧构成,FN_neverLoc,6,0.05,完全未定位漏检
Oracle模拟,base,,0.0,AP50=0.8797（Δ=+0.00pp）· 当前基线（复算AP50）
Oracle模拟,O1_修复低分漏检,,4.58,AP50=0.9255（Δ=+4.58pp）· 修复2073个低分漏检
Oracle模拟,O2_去重,,0.16,AP50=0.8813（Δ=+0.16pp）· 修复127个重复FP
Oracle模拟,O3_背景抑制,,2.22,AP50=0.9020（Δ=+2.22pp）· 修复24541条背景预测
Oracle模拟,O1+O2+O3_联合上界,,6.53,AP50=0.9450（Δ=+6.53pp）· 理论回收上限
Oracle模拟,O4_定位质量,,,AP75 0.6075 → 0.8797（修复3347个TP定位）
