Model,Epoch,Type,Params_M,GFLOPs,Precision,Recall,F1,mAP50,mAP75,mAP50_95,Size,Delta_mAP50_vs_base
YOLOv12s-Facaler-CIoU,150,coco_pretrain,9.25,21.52,85.047,81.808,83.396,88.656,61.142,55.792,s,0.389
YOLOv12s-PIoU2,150,coco_pretrain,9.25,21.52,85.573,81.262,83.362,88.539,61.55,55.953,s,0.272
YOLOv12s-PIoU2-DySample,150,coco_pretrain,9.28,21.56,85.397,80.849,83.061,88.491,61.62,55.865,s,0.224
YOLOv12s-PIoU2-DySample-plus_DyHead,150,coco_pretrain,9.55,22.04,85.323,81.683,83.464,88.461,61.166,55.91,s,0.194
YOLOv12s-SD_Loss,150,coco_pretrain,9.25,21.52,84.693,81.719,83.179,88.455,60.839,55.821,s,0.188
YOLO12s-DySample-plus,150,coco_pretrain,9.3,21.6,85.511,81.17,83.284,88.442,60.917,55.867,s,0.175
YOLOv12s-WIoUv3-300e/194e,300,coco_pretrain,9.25,21.52,85.118,81.497,83.268,88.433,60.894,55.673,s,0.166
YOLO12s-FreqFusion_up,150,coco_pretrain,9.48,22.51,85.025,81.411,83.178,88.407,61.432,55.915,s,0.14
YOLOv12s-MultiScaleGatedAttn,150,coco_pretrain,13.46,29.81,84.932,81.575,83.22,88.403,60.926,55.547,s,0.136
YOLO12s_PIoU2_FreqFusion_up,150,coco_pretrain,9.48,22.51,84.308,81.616,82.94,88.378,61.021,55.779,s,0.111
YOLO12s-DySample,150,coco_pretrain,9.28,21.56,85.162,81.515,83.299,88.371,61.247,55.823,s,0.104
YOLOv12s-300/191/91,300,coco_pretrain,9.25,21.52,85.627,81.231,83.371,88.319,60.529,55.681,s,0.052
YOLOv12s-Focaler-CIoU-DySample,150,coco_pretrain,9.28,21.56,85.342,80.795,83.006,88.279,60.572,55.558,s,0.012
YOLO12s-DyHead,150,coco_pretrain,9.5,21.96,85.233,81.497,83.323,88.269,61.194,55.729,s,0.002
YOLOv12s-baseline,150,coco_pretrain,9.25,21.52,84.911,81.341,83.088,88.267,60.853,55.639,s,0.0
YOLO12s-DySample-WIoUv3,150,coco_pretrain,9.28,21.56,84.693,81.275,82.949,88.255,61.001,55.539,s,-0.012
YOLO12s_SD-Loss_DySample-plus,150,coco_pretrain,9.3,21.6,85.818,80.724,83.193,88.244,60.601,55.571,s,-0.023
YOLO12s-FreqFusion_hrup,150,coco_pretrain,9.61,22.93,85.523,81.017,83.209,88.179,61.113,55.722,s,-0.088
YOLOv12s-Slide-Loss,150,coco_pretrain,9.25,21.52,84.145,81.524,82.814,88.174,60.55,55.49,s,-0.093
YOLOv12s-A2C2f_Mona,150,coco_pretrain,6.81,18.44,85.197,79.988,82.51,88.153,60.938,55.588,s,-0.114
YOLO12s-BiFPN,150,coco_pretrain,8.62,22.33,84.628,81.235,82.897,88.105,60.232,55.057,s,-0.162
YOLO12s-A2C2f_MCA,300,coco_pretrain,6.86,18.41,83.769,81.197,82.463,88.064,60.749,55.479,s,-0.203
YOLOv12n-Focaler-CIoU,200,coco_pretrain,2.57,6.48,84.561,80.582,82.524,88.041,59.471,54.696,n,0.161
YOLOv12s-EMA,150,coco_pretrain,9.26,21.6,84.018,81.479,82.729,88.028,59.518,54.892,s,-0.239
YOLOv12s-A2C2f_EMA,150,coco_pretrain,6.87,18.55,84.721,80.955,82.795,88.012,60.31,55.385,s,-0.255
YOLO12s-P2,150,coco_pretrain,9.38,28.36,85.112,80.76,82.879,88.006,59.884,55.052,s,-0.261
YOLO12s-P2-DySample,150,coco_pretrain,9.41,28.44,84.765,80.778,82.724,87.931,60.163,55.098,s,-0.336
YOLO12n-DySample,200,coco_pretrain,2.58,6.5,83.905,81.46,82.664,87.92,59.677,54.838,n,0.04
YOLOv11s,150,coco_pretrain,9.43,21.55,84.997,80.503,82.689,87.916,59.517,54.968,s,-0.351
YOLOv5su,150,coco_pretrain,9.12,24.04,84.887,79.993,82.368,87.889,60.344,55.253,s,-0.378
YOLOv12n-300e/250e/150e,300,coco_pretrain,2.57,6.48,84.669,81.053,82.822,87.88,59.42,54.735,n,0.0
YOLOv8s,150,coco_pretrain,11.14,28.65,84.438,80.792,82.575,87.665,59.866,55.013,s,-0.602
YOLO12s-FreqFusion,150,coco_pretrain,8.91,20.97,83.633,81.009,82.3,87.623,59.555,54.61,s,-0.644
YOLOv12s-A2C2f_FCM,300,coco_pretrain,7.49,18.39,83.35,80.787,82.048,87.55,59.804,54.897,s,-0.717
YOLOv8n,200,coco_pretrain,3.01,8.19,83.857,80.023,81.895,87.394,58.966,54.18,n,-0.486
YOLOv5nu,200,coco_pretrain,2.51,7.18,83.855,80.195,81.985,87.27,58.777,54.154,n,-0.61
YOLOv11n,200,coco_pretrain,2.59,6.44,83.243,80.343,81.767,87.19,59.275,54.375,n,-0.69
YOLO12s-Mona,150,coco_pretrain,5.66,14.08,83.876,79.1,81.418,87.152,58.994,54.367,s,-1.115
YOLOv12s-A2C2f_SCSA_CBAM,150,coco_pretrain,6.41,16.32,82.357,79.899,81.11,86.848,58.41,53.991,s,-1.419
YOLOv26s,150,coco_pretrain,9.95,22.5,83.292,80.05,81.639,86.607,59.011,53.971,s,-1.66
YOLO12s-MoCA,150,coco_pretrain,6.55,16.45,82.357,79.215,80.755,86.587,58.811,54.009,s,-1.68
YOLOv26n,200,coco_pretrain,2.5,5.77,83.143,79.002,81.02,86.229,57.429,52.964,n,-1.651
